,agents_played,assists_per_round,average_combat_score,average_damage_per_round,clutch_success_percentage,first_deaths_per_round,first_kills_per_round,headshot_percentage,kill_assists_survived_traded,kill_deaths,kills_per_round,org,player,rating,region,event
0,['jett'],0.19,237.0,156.1,8,0.17,0.18,25,71,1.21,0.82,FUR,mwzera,1.19,NA,KICKOFF
1,['viper'],0.25,213.3,142.9,12,0.07,0.08,31,76,1.25,0.76,LOUD,Less,1.15,NA,KICKOFF
2,"['raze', 'jett']",0.20,249.0,161.8,9,0.16,0.22,25,72,1.21,0.86,SEN,zekken,1.15,NA,KICKOFF
3,"['raze', 'reyna', 'jett']",0.20,242.1,162.5,25,0.13,0.15,28,73,1.23,0.85,LEV,aspas,1.15,NA,KICKOFF
4,"['omen', 'brimstone', 'harbor']",0.47,190.8,127.8,21,0.04,0.05,31,75,1.11,0.68,LOUD,tuyz,1.10,NA,KICKOFF
5,"['omen', 'yoru', 'kayo']",0.42,212.9,139.8,8,0.09,0.13,26,76,1.11,0.75,SEN,TenZ,1.10,NA,KICKOFF
6,"['viper', 'kayo', 'killjoy']",0.41,195.1,123.9,16,0.07,0.08,17,77,1.05,0.68,SEN,Zellsis,1.09,NA,KICKOFF
7,"['jett', 'chamber']",0.14,251.2,165.8,,0.10,0.23,35,68,1.25,0.91,KRÜ,keznit,1.09,NA,KICKOFF
8,"['jett', 'raze', 'yoru']",0.19,237.3,155.0,20,0.21,0.20,28,69,1.16,0.81,G2,leaf,1.08,NA,KICKOFF
9,"['cypher', 'killjoy', 'viper']",0.27,187.5,123.0,21,0.06,0.06,26,75,1.10,0.66,SEN,johnqt,1.08,NA,KICKOFF
10,"['jett', 'omen']",0.15,215.3,145.6,7,0.17,0.20,33,71,1.08,0.76,NRG,Demon1,1.08,NA,KICKOFF
11,"['cypher', 'killjoy', 'raze']",0.19,211.0,140.3,20,0.11,0.11,25,74,1.24,0.76,NRG,Victor,1.08,NA,KICKOFF
12,"['fade', 'gekko', 'sova']",0.17,219.0,140.2,18,0.05,0.12,37,69,1.11,0.76,EG,Derrek,1.08,NA,KICKOFF
13,"['killjoy', 'viper']",0.22,190.4,140.1,54,0.06,0.05,23,69,1.10,0.69,KRÜ,Shyy,1.07,NA,KICKOFF
14,"['omen', 'viper']",0.31,190.6,124.6,21,0.08,0.11,33,72,1.00,0.65,EG,supamen,1.07,NA,KICKOFF
15,"['skye', 'sova', 'fade']",0.45,200.2,134.9,21,0.06,0.07,26,74,0.99,0.66,SEN,Sacy,1.06,NA,KICKOFF
16,"['raze', 'skye', 'fade']",0.44,211.1,134.0,15,0.12,0.08,23,80,0.98,0.72,C9,Xeppaa,1.05,NA,KICKOFF
17,['viper'],0.29,197.0,136.7,20,0.09,0.07,29,74,1.00,0.67,G2,trent,1.04,NA,KICKOFF
18,"['kayo', 'skye']",0.48,210.7,135.3,23,0.08,0.06,21,78,1.00,0.69,NRG,Ethan,1.04,NA,KICKOFF
19,"['skye', 'viper', 'gekko']",0.34,198.6,132.2,23,0.08,0.06,22,76,1.03,0.69,C9,vanity,1.03,NA,KICKOFF
20,"['cypher', 'killjoy']",0.20,217.0,153.7,13,0.19,0.07,33,61,1.08,0.77,EG,Apoth,1.03,NA,KICKOFF
21,"['brimstone', 'astra', 'jett']",0.17,206.3,137.3,40,0.12,0.11,25,70,1.13,0.78,100T,Cryocells,1.02,NA,KICKOFF
22,"['sova', 'kayo', 'breach']",0.34,178.6,121.0,24,0.09,0.04,29,75,0.98,0.65,G2,JonahP,1.01,NA,KICKOFF
23,"['breach', 'sova']",0.32,195.5,120.7,,0.08,0.14,30,74,1.03,0.71,LOUD,cauanzin,1.01,NA,KICKOFF
24,"['brimstone', 'astra', 'omen']",0.40,187.8,129.3,16,0.05,0.04,30,77,1.05,0.68,MIBR,RgLMeister,1.01,NA,KICKOFF
25,"['viper', 'killjoy', 'cypher']",0.17,192.2,126.1,26,0.10,0.08,29,67,1.09,0.69,MIBR,frz,1.01,NA,KICKOFF
26,"['raze', 'skye', 'sova']",0.21,216.3,144.3,5,0.14,0.15,30,75,1.07,0.77,MIBR,jzz,1.00,NA,KICKOFF
27,"['viper', 'breach', 'kayo']",0.30,207.4,136.2,15,0.07,0.03,31,73,1.05,0.73,LEV,kiNgg,1.00,NA,KICKOFF
28,"['sova', 'viper', 'breach']",0.31,167.9,110.3,10,0.07,0.06,25,74,1.00,0.60,NRG,crashies,0.99,NA,KICKOFF
29,"['viper', 'killjoy']",0.22,179.0,119.7,7,0.07,0.07,21,73,0.98,0.60,C9,wippie,0.98,NA,KICKOFF
30,"['sova', 'fade', 'skye']",0.35,182.8,126.0,13,0.05,0.11,22,71,0.83,0.59,KRÜ,Klaus,0.98,NA,KICKOFF
31,"['jett', 'raze']",0.16,216.3,138.8,27,0.15,0.14,25,72,1.00,0.74,MIBR,artzin,0.98,NA,KICKOFF
32,"['raze', 'phoenix', 'jett']",0.19,203.0,135.7,7,0.15,0.18,28,67,0.99,0.73,LOUD,Quick,0.96,NA,KICKOFF
33,"['gekko', 'killjoy', 'omen']",0.25,201.8,141.2,10,0.13,0.13,28,72,0.93,0.71,100T,Boostio,0.96,NA,KICKOFF
34,"['brimstone', 'astra', 'omen']",0.39,170.7,113.4,14,0.06,0.04,28,74,0.88,0.60,C9,jakee,0.96,NA,KICKOFF
35,"['killjoy', 'cypher']",0.18,198.5,131.1,8,0.06,0.07,39,68,1.00,0.70,G2,neT,0.96,NA,KICKOFF
36,"['skye', 'sova']",0.45,187.6,120.9,9,0.10,0.08,21,71,0.89,0.63,LEV,C0M,0.96,NA,KICKOFF
37,"['fade', 'sova']",0.29,170.0,110.9,4,0.04,0.03,25,71,0.89,0.62,100T,eeiu,0.95,NA,KICKOFF
38,"['viper', 'omen']",0.40,193.0,123.0,8,0.10,0.06,27,75,0.88,0.66,NRG,Marved,0.95,NA,KICKOFF
39,"['raze', 'deadlock', 'jett']",0.26,206.0,138.7,,0.15,0.15,21,64,0.92,0.70,EG,jawgemo,0.95,NA,KICKOFF
40,"['sova', 'skye']",0.32,170.0,113.7,7,0.02,0.07,18,76,0.84,0.57,FUR,kon4n,0.95,NA,KICKOFF
41,"['yoru', 'raze', 'jett']",0.16,227.9,147.9,7,0.19,0.23,33,67,0.96,0.79,C9,OXY,0.94,NA,KICKOFF
42,"['brimstone', 'omen', 'harbor']",0.37,180.8,114.2,11,0.07,0.10,22,76,0.90,0.63,G2,valyn,0.94,NA,KICKOFF
43,"['cypher', 'killjoy', 'viper']",0.18,170.5,119.5,10,0.06,0.03,27,64,0.84,0.60,FUR,Khalil,0.93,NA,KICKOFF
