,agents_played,assists,assists_per_round,average_combat_score,average_damage_per_round,clutch_success_percentage,deaths,fd,first_deaths_per_round,first_kills_per_round,fk,headshot_percentage,kill_assists_survived_traded,kill_deaths,kills,kills_per_round,kmax,org,player,rating,rounds,region,event
0,['jett'],17,0.19,237.0,156.1,8,61,15,0.17,0.18,16,25,71,1.21,74,0.82,24,FUR,mwzera,1.19,90,NA,KICKOFF
1,['viper'],69,0.25,213.3,142.9,12,164,19,0.07,0.08,22,31,76,1.25,205,0.76,24,LOUD,Less,1.15,271,NA,KICKOFF
2,"['raze', 'jett']",86,0.20,249.0,161.8,9,307,70,0.16,0.22,93,25,72,1.21,373,0.86,31,SEN,zekken,1.15,432,NA,KICKOFF
3,"['raze', 'reyna', 'jett']",37,0.20,242.1,162.5,25,128,25,0.13,0.15,27,28,73,1.23,158,0.85,31,LEV,aspas,1.15,186,NA,KICKOFF
4,"['omen', 'brimstone', 'harbor']",128,0.47,190.8,127.8,21,165,10,0.04,0.05,14,31,75,1.11,183,0.68,19,LOUD,tuyz,1.10,271,NA,KICKOFF
5,"['omen', 'yoru', 'kayo']",180,0.42,212.9,139.8,8,290,39,0.09,0.13,54,26,76,1.11,323,0.75,30,SEN,TenZ,1.10,432,NA,KICKOFF
6,"['viper', 'kayo', 'killjoy']",179,0.41,195.1,123.9,16,277,32,0.07,0.08,36,17,77,1.05,292,0.68,19,SEN,Zellsis,1.09,432,NA,KICKOFF
7,"['jett', 'chamber']",15,0.14,251.2,165.8,,80,11,0.10,0.23,25,35,68,1.25,100,0.91,31,KRÜ,keznit,1.09,110,NA,KICKOFF
8,"['jett', 'raze', 'yoru']",56,0.19,237.3,155.0,20,211,63,0.21,0.20,59,28,69,1.16,244,0.81,26,G2,leaf,1.08,300,NA,KICKOFF
9,"['cypher', 'killjoy', 'viper']",116,0.27,187.5,123.0,21,258,27,0.06,0.06,27,26,75,1.10,284,0.66,19,SEN,johnqt,1.08,432,NA,KICKOFF
10,"['jett', 'omen']",24,0.15,215.3,145.6,7,110,26,0.17,0.20,32,33,71,1.08,119,0.76,24,NRG,Demon1,1.08,157,NA,KICKOFF
11,"['cypher', 'killjoy', 'raze']",30,0.19,211.0,140.3,20,97,17,0.11,0.11,17,25,74,1.24,120,0.76,22,NRG,Victor,1.08,157,NA,KICKOFF
12,"['fade', 'gekko', 'sova']",19,0.17,219.0,140.2,18,76,5,0.05,0.12,13,37,69,1.11,84,0.76,22,EG,Derrek,1.08,110,NA,KICKOFF
13,"['killjoy', 'viper']",24,0.22,190.4,140.1,54,69,7,0.06,0.05,6,23,69,1.10,76,0.69,19,KRÜ,Shyy,1.07,110,NA,KICKOFF
14,"['omen', 'viper']",34,0.31,190.6,124.6,21,72,9,0.08,0.11,12,33,72,1.00,72,0.65,22,EG,supamen,1.07,110,NA,KICKOFF
15,"['skye', 'sova', 'fade']",194,0.45,200.2,134.9,21,288,25,0.06,0.07,29,26,74,0.99,285,0.66,24,SEN,Sacy,1.06,432,NA,KICKOFF
16,"['raze', 'skye', 'fade']",71,0.44,211.1,134.0,15,118,19,0.12,0.08,13,23,80,0.98,116,0.72,20,C9,Xeppaa,1.05,162,NA,KICKOFF
17,['viper'],87,0.29,197.0,136.7,20,200,26,0.09,0.07,22,29,74,1.00,200,0.67,22,G2,trent,1.04,300,NA,KICKOFF
18,"['kayo', 'skye']",76,0.48,210.7,135.3,23,108,12,0.08,0.06,9,21,78,1.00,108,0.69,27,NRG,Ethan,1.04,157,NA,KICKOFF
19,"['skye', 'viper', 'gekko']",55,0.34,198.6,132.2,23,109,13,0.08,0.06,10,22,76,1.03,112,0.69,23,C9,vanity,1.03,162,NA,KICKOFF
20,"['cypher', 'killjoy']",22,0.20,217.0,153.7,13,79,21,0.19,0.07,8,33,61,1.08,85,0.77,21,EG,Apoth,1.03,110,NA,KICKOFF
21,"['brimstone', 'astra', 'jett']",20,0.17,206.3,137.3,40,83,14,0.12,0.11,13,25,70,1.13,94,0.78,21,100T,Cryocells,1.02,120,NA,KICKOFF
22,"['sova', 'kayo', 'breach']",103,0.34,178.6,121.0,24,199,27,0.09,0.04,13,29,75,0.98,195,0.65,23,G2,JonahP,1.01,300,NA,KICKOFF
23,"['breach', 'sova']",88,0.32,195.5,120.7,,188,22,0.08,0.14,38,30,74,1.03,193,0.71,20,LOUD,cauanzin,1.01,271,NA,KICKOFF
24,"['brimstone', 'astra', 'omen']",109,0.40,187.8,129.3,16,176,14,0.05,0.04,10,30,77,1.05,185,0.68,23,MIBR,RgLMeister,1.01,274,NA,KICKOFF
25,"['viper', 'killjoy', 'cypher']",46,0.17,192.2,126.1,26,174,28,0.10,0.08,21,29,67,1.09,190,0.69,22,MIBR,frz,1.01,274,NA,KICKOFF
26,"['raze', 'skye', 'sova']",58,0.21,216.3,144.3,5,198,37,0.14,0.15,42,30,75,1.07,212,0.77,28,MIBR,jzz,1.00,274,NA,KICKOFF
27,"['viper', 'breach', 'kayo']",55,0.30,207.4,136.2,15,129,13,0.07,0.03,6,31,73,1.05,136,0.73,22,LEV,kiNgg,1.00,186,NA,KICKOFF
28,"['sova', 'viper', 'breach']",49,0.31,167.9,110.3,10,94,11,0.07,0.06,9,25,74,1.00,94,0.60,22,NRG,crashies,0.99,157,NA,KICKOFF
29,"['viper', 'killjoy']",36,0.22,179.0,119.7,7,100,11,0.07,0.07,11,21,73,0.98,98,0.60,23,C9,wippie,0.98,162,NA,KICKOFF
30,"['sova', 'fade', 'skye']",38,0.35,182.8,126.0,13,78,5,0.05,0.11,12,22,71,0.83,65,0.59,17,KRÜ,Klaus,0.98,110,NA,KICKOFF
31,"['jett', 'raze']",44,0.16,216.3,138.8,27,203,40,0.15,0.14,38,25,72,1.00,202,0.74,28,MIBR,artzin,0.98,274,NA,KICKOFF
32,"['raze', 'phoenix', 'jett']",52,0.19,203.0,135.7,7,199,42,0.15,0.18,48,28,67,0.99,198,0.73,24,LOUD,Quick,0.96,271,NA,KICKOFF
33,"['gekko', 'killjoy', 'omen']",30,0.25,201.8,141.2,10,91,16,0.13,0.13,16,28,72,0.93,85,0.71,22,100T,Boostio,0.96,120,NA,KICKOFF
34,"['brimstone', 'astra', 'omen']",63,0.39,170.7,113.4,14,111,9,0.06,0.04,7,28,74,0.88,98,0.60,20,C9,jakee,0.96,162,NA,KICKOFF
35,"['killjoy', 'cypher']",54,0.18,198.5,131.1,8,208,18,0.06,0.07,21,39,68,1.00,209,0.70,25,G2,neT,0.96,300,NA,KICKOFF
36,"['skye', 'sova']",84,0.45,187.6,120.9,9,131,19,0.10,0.08,15,21,71,0.89,117,0.63,24,LEV,C0M,0.96,186,NA,KICKOFF
37,"['fade', 'sova']",35,0.29,170.0,110.9,4,83,5,0.04,0.03,3,25,71,0.89,74,0.62,17,100T,eeiu,0.95,120,NA,KICKOFF
38,"['viper', 'omen']",63,0.40,193.0,123.0,8,118,15,0.10,0.06,9,27,75,0.88,104,0.66,22,NRG,Marved,0.95,157,NA,KICKOFF
39,"['raze', 'deadlock', 'jett']",29,0.26,206.0,138.7,,84,17,0.15,0.15,16,21,64,0.92,77,0.70,21,EG,jawgemo,0.95,110,NA,KICKOFF
40,"['sova', 'skye']",29,0.32,170.0,113.7,7,61,2,0.02,0.07,6,18,76,0.84,51,0.57,14,FUR,kon4n,0.95,90,NA,KICKOFF
41,"['yoru', 'raze', 'jett']",26,0.16,227.9,147.9,7,134,31,0.19,0.23,38,33,67,0.96,128,0.79,24,C9,OXY,0.94,162,NA,KICKOFF
42,"['brimstone', 'omen', 'harbor']",111,0.37,180.8,114.2,11,209,22,0.07,0.10,29,22,76,0.90,189,0.63,24,G2,valyn,0.94,300,NA,KICKOFF
43,"['cypher', 'killjoy', 'viper']",16,0.18,170.5,119.5,10,64,5,0.06,0.03,3,27,64,0.84,54,0.60,15,FUR,Khalil,0.93,90,NA,KICKOFF
44,['viper'],31,0.26,192.5,124.2,21,85,11,0.09,0.09,11,29,71,0.92,78,0.65,19,100T,bang,0.92,120,NA,KICKOFF
45,"['skye', 'kayo', 'killjoy']",107,0.39,186.9,122.0,5,203,32,0.12,0.08,23,17,75,0.82,166,0.61,19,LOUD,saadhak,0.89,271,NA,KICKOFF
46,"['viper', 'omen', 'astra']",30,0.33,167.0,106.4,8,60,6,0.07,0.06,5,35,70,0.83,50,0.56,19,FUR,liazzi,0.89,90,NA,KICKOFF
