,player,org,region,event,rounds,rating,ACS,KD,KAST,ADR,KPR,APR,FKPR,FDPR,HS,CS,KMAX,KILLS,DEATHS,ASSISTS,FK,FD
0,2ge,"['RRQ', 'TS']",['PACIFIC'],"['STAGE 2', 'STAGE 1']",330.0,0.895,159.1,0.89,70.5,103.8,0.59,0.22000000000000003,0.04,0.08,29.5,25.0,20,221.0,214.0,104.0,24.0,25.0
1,AAAAY,['FPX'],"['INT', 'CHINA']","['KICKOFF', 'STAGE 1', 'CHAMPIONS', 'CHINA', 'MASTERS SHANGHAI', 'MASTERS MADRID']",1634.0,0.92,196.71666666666667,1.0566666666666669,67.0,128.675,0.7333333333333334,0.225,0.065,0.0375,33.0,10.0,30,1192.0,1115.0,412.0,58.0,45.0
2,AAK,['TYL'],['CHINA'],"['KICKOFF', 'STAGE 1', 'CHINA']",376.0,,188.1,0.8766666666666668,,109.0,0.6666666666666666,0.18333333333333335,0.05,0.13,,,24,280.0,279.0,67.0,2.0,5.0
3,AC,['TEC'],['CHINA'],"['STAGE 1', 'CHINA']",529.0,,201.89999999999998,1.04,,133.4,0.72,0.36,0.06,0.07,,,22,381.0,367.0,193.0,16.0,19.0
4,ANGE1,['NAVI'],['EMEA'],"['KICKOFF', 'STAGE 2', 'STAGE 1']",760.0,0.8333333333333334,170.56666666666666,0.79,65.0,115.56666666666666,0.59,0.28,0.10666666666666667,0.12,33.333333333333336,8.5,25,454.0,570.0,218.0,78.0,89.0
5,Abo,['TEC'],['CHINA'],"['KICKOFF', 'STAGE 1', 'CHINA']",826.0,,203.63333333333333,0.9400000000000001,,141.5,0.7133333333333334,0.18666666666666668,0.16,0.17,,,28,591.0,631.0,153.0,42.0,46.0
6,Alfajer,['FNC'],"['INT', 'EMEA']","['KICKOFF', 'STAGE 2', 'STAGE 1', 'CHAMPIONS', 'MASTERS SHANGHAI']",1337.0,1.035,215.66,1.134,72.25,144.32,0.772,0.192,0.11000000000000001,0.098,30.0,10.666666666666666,28,1047.0,890.0,265.0,150.0,134.0
7,Anthem,['DFM'],['PACIFIC'],"['KICKOFF', 'STAGE 2', 'STAGE 1']",620.0,0.8266666666666667,152.6,0.7066666666666667,69.66666666666667,105.63333333333333,0.52,0.3466666666666667,0.05000000000000001,0.09000000000000001,25.333333333333332,13.666666666666666,20,338.0,453.0,194.0,29.0,55.0
8,Apoth,['EG'],['NA'],"['KICKOFF', 'STAGE 2', 'STAGE 1']",632.0,0.8833333333333334,180.70000000000002,0.8666666666666667,61.333333333333336,125.03333333333335,0.6233333333333334,0.22333333333333336,0.08333333333333333,0.16,34.0,15.333333333333334,22,374.0,459.0,143.0,56.0,96.0
9,Asuna,['100T'],"['NA', 'INT']","['KICKOFF', 'STAGE 2', 'STAGE 1', 'MASTERS SHANGHAI']",1176.0,1.0033333333333332,207.0,0.9574999999999999,73.66666666666667,132.55,0.6950000000000001,0.3375,0.125,0.1425,18.666666666666668,17.333333333333332,25,846.0,841.0,426.0,155.0,165.0
10,AtaKaptan,['FUT'],"['INT', 'EMEA']","['KICKOFF', 'STAGE 2', 'STAGE 1', 'CHAMPIONS', 'MASTERS SHANGHAI']",1282.0,1.01,191.51999999999998,0.95,72.5,122.08,0.6679999999999999,0.386,0.06999999999999999,0.10200000000000001,25.25,12.333333333333334,30,858.0,906.0,488.0,105.0,154.0
11,Autumn,['FPX'],"['INT', 'CHINA']","['KICKOFF', 'STAGE 1', 'CHAMPIONS', 'CHINA', 'MASTERS SHANGHAI', 'MASTERS MADRID']",1634.0,1.075,210.33333333333334,1.0683333333333331,72.0,139.425,0.73,0.27,0.125,0.07500000000000001,29.0,27.0,28,1193.0,1116.0,440.0,99.0,65.0
12,B1ack,['TEC'],['CHINA'],['CHINA'],177.0,,194.5,1.02,,118.2,0.68,0.41,0.07,0.06,,,19,121.0,119.0,73.0,12.0,11.0
13,B3ar,['BLG'],['CHINA'],"['KICKOFF', 'STAGE 1']",364.0,,135.0,0.73,,,0.475,0.42000000000000004,,,,,14,172.0,236.0,152.0,0.0,0.0
14,BORKUM,['TS'],['PACIFIC'],"['KICKOFF', 'STAGE 1']",607.0,1.04,189.05,0.98,72.0,121.85,0.66,0.395,0.095,0.060000000000000005,22.0,15.5,24,399.0,407.0,230.0,53.0,37.0
15,BeYN,['DRX'],"['INT', 'PACIFIC']","['STAGE 2', 'STAGE 1', 'CHAMPIONS']",1015.0,0.9700000000000001,176.86666666666667,0.9733333333333333,72.0,118.63333333333333,0.6466666666666667,0.2833333333333334,0.06333333333333334,0.07666666666666666,27.333333333333332,27.0,27,627.0,676.0,313.0,58.0,74.0
16,Benkai,['GE'],['PACIFIC'],"['KICKOFF', 'STAGE 2', 'STAGE 1']",631.0,0.9199999999999999,166.33333333333334,0.86,68.0,116.0,0.5766666666666667,0.21666666666666667,0.03666666666666667,0.07333333333333335,25.666666666666668,12.0,26,363.0,421.0,133.0,24.0,44.0
17,BerLIN,['FPX'],"['INT', 'CHINA']","['KICKOFF', 'STAGE 1', 'CHAMPIONS', 'CHINA', 'MASTERS SHANGHAI', 'MASTERS MADRID']",1634.0,0.855,180.35,0.9033333333333333,68.5,119.05000000000001,0.625,0.35333333333333333,0.115,0.10500000000000001,31.5,10.5,28,1036.0,1134.0,606.0,99.0,104.0
18,Biank,"['BLG', 'TE']","['INT', 'CHINA']","['KICKOFF', 'STAGE 1', 'CHAMPIONS', 'CHINA']",1067.0,0.91,182.97500000000002,0.8775,65.0,120.4,0.6125,0.3425,0.1,0.125,17.0,50.0,27,675.0,755.0,364.0,55.0,66.0
19,Boaster,['FNC'],"['INT', 'EMEA']","['KICKOFF', 'STAGE 2', 'STAGE 1', 'CHAMPIONS', 'MASTERS SHANGHAI']",1337.0,1.015,164.1,0.906,75.0,109.25999999999999,0.5719999999999998,0.41200000000000003,0.07600000000000001,0.1,26.0,17.333333333333332,21,717.0,874.0,556.0,98.0,138.0
